0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:36 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:39 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:42 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:22:42 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:09 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:09 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:09 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:09 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:10 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:10 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:10 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:24:12 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:20 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:20 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:20 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:20 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:25:22 +0900] "GET /Ex0925_api/list.do?search_txt=asd HTTP/1.1" 200 20842
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:27:21 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:27:21 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:27:22 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:27:22 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:27:22 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:27:24 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:28:39 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
